CNES - Estabelecimentos por Tipo - Santa Catarina
Quantidade por Município
Período:Mai/2024
"Município";"Quantidade"
"420690 IBIRAMA";53
"420700 ICARA";178
"420710 ILHOTA";25
"420720 IMARUI";27
"420730 IMBITUBA";147
"420740 IMBUIA";10
"420750 INDAIAL";195
"420757 IOMERE";7
"420760 IPIRA";13
"420765 IPORA DO OESTE";39
"420768 IPUACU";11
"420770 IPUMIRIM";16
"420775 IRACEMINHA";9
"420780 IRANI";32
"420785 IRATI";6
"420790 IRINEOPOLIS";23
"420800 ITA";43
"420810 ITAIOPOLIS";56
"420820 ITAJAI";1470
"420830 ITAPEMA";416
"420840 ITAPIRANGA";38
"420845 ITAPOA";55
"420850 ITUPORANGA";81
"420860 JABORA";12
"420870 JACINTO MACHADO";29
"420880 JAGUARUNA";69
"420890 JARAGUA DO SUL";783
"420895 JARDINOPOLIS";7
"420900 JOACABA";405
"420910 JOINVILLE";1623
"420915 JOSE BOITEUX";8
"420917 JUPIA";4
"420920 LACERDOPOLIS";6
"420930 LAGES";1114
"420940 LAGUNA";93
"420945 LAJEADO GRANDE";4
"420950 LAURENTINO";17
"420960 LAURO MULLER";31
"420970 LEBON REGIS";17
"420980 LEOBERTO LEAL";8
"420985 LINDOIA DO SUL";8
"420990 LONTRAS";21
"421000 LUIZ ALVES";37
"421003 LUZERNA";15
"421005 MACIEIRA";6
"421010 MAFRA";209
"421020 MAJOR GERCINO";5
"421030 MAJOR VIEIRA";15
"421040 MARACAJA";11
"421050 MARAVILHA";126
"421055 MAREMA";4
"421060 MASSARANDUBA";35
"421070 MATOS COSTA";7
"421080 MELEIRO";29
"421085 MIRIM DOCE";5
"421090 MODELO";12
"421100 MONDAI";38
"421105 MONTE CARLO";26
"421110 MONTE CASTELO";15
"421120 MORRO DA FUMACA";39
"421125 MORRO GRANDE";8
"421130 NAVEGANTES";161
"421140 NOVA ERECHIM";18
"421145 NOVA ITABERABA";10
"421150 NOVA TRENTO";26
"421160 NOVA VENEZA";43
"421165 NOVO HORIZONTE";3
"421170 ORLEANS";92
"421175 OTACILIO COSTA";60
"421180 OURO";19
"421185 OURO VERDE";6
"421187 PAIAL";5
"421189 PAINEL";7
"421190 PALHOCA";335
"421200 PALMA SOLA";18
"421205 PALMEIRA";8
"421210 PALMITOS";54
"421220 PAPANDUVA";32
"421223 PARAISO";10
"421225 PASSO DE TORRES";8
"421227 PASSOS MAIA";11
"421230 PAULO LOPES";8
"421240 PEDRAS GRANDES";15
"421250 PENHA";61
"421260 PERITIBA";10
"421265 PESCARIA BRAVA";10
"421270 PETROLANDIA";9
"421280 BALNEARIO PICARRAS";68
"421290 PINHALZINHO";136
"421300 PINHEIRO PRETO";3
"421310 PIRATUBA";13
"421315 PLANALTO ALEGRE";11
"421320 POMERODE";122
"421330 PONTE ALTA";11
"421335 PONTE ALTA DO NORTE";7
"421340 PONTE SERRADA";31
"421350 PORTO BELO";46
"421360 PORTO UNIAO";139
"421370 POUSO REDONDO";32
"421380 PRAIA GRANDE";27
"421390 PRESIDENTE CASTELLO BRANCO";5
"421400 PRESIDENTE GETULIO";46
"421410 PRESIDENTE NEREU";5
"421415 PRINCESA";3
"421420 QUILOMBO";36
"421430 RANCHO QUEIMADO";9
"421440 RIO DAS ANTAS";14
"421450 RIO DO CAMPO";17
"421460 RIO DO OESTE";16
"421470 RIO DOS CEDROS";28
"421480 RIO DO SUL";444
"421490 RIO FORTUNA";10
"421500 RIO NEGRINHO";91
"421505 RIO RUFINO";8
"421507 RIQUEZA";12
"421510 RODEIO";26
"421520 ROMELANDIA";12
"421530 SALETE";21
"421535 SALTINHO";2
"421540 SALTO VELOSO";14
"421545 SANGAO";12
"421550 SANTA CECILIA";36
"421555 SANTA HELENA";4
"421560 SANTA ROSA DE LIMA";4
"421565 SANTA ROSA DO SUL";16
"421567 SANTA TEREZINHA";10
"421568 SANTA TEREZINHA DO PROGRESSO";3
"421569 SANTIAGO DO SUL";6
"421570 SANTO AMARO DA IMPERATRIZ";53
"421575 SAO BERNARDINO";4
"421580 SAO BENTO DO SUL";259
"421590 SAO BONIFACIO";17
"421600 SAO CARLOS";36
"421605 SAO CRISTOVAO DO SUL";6
"421610 SAO DOMINGOS";39
"421620 SAO FRANCISCO DO SUL";139
"421625 SAO JOAO DO OESTE";14
"421630 SAO JOAO BATISTA";59
"421635 SAO JOAO DO ITAPERIU";11
"421640 SAO JOAO DO SUL";15
"421650 SAO JOAQUIM";66
"421660 SAO JOSE";584
"421670 SAO JOSE DO CEDRO";37
"421680 SAO JOSE DO CERRITO";10
"421690 SAO LOURENCO DO OESTE";135
"421700 SAO LUDGERO";27
"421710 SAO MARTINHO";11
"421715 SAO MIGUEL DA BOA VISTA";4
"421720 SAO MIGUEL DO OESTE";308
"421725 SAO PEDRO DE ALCANTARA";10
"421730 SAUDADES";32
"421740 SCHROEDER";31
"421750 SEARA";88
"421755 SERRA ALTA";12
"421760 SIDEROPOLIS";24
"421770 SOMBRIO";79
"421775 SUL BRASIL";7
"421780 TAIO";70
"421790 TANGARA";19
"421795 TIGRINHOS";4
"421800 TIJUCAS";104
"421810 TIMBE DO SUL";12
"421820 TIMBO";178
"421825 TIMBO GRANDE";7
"421830 TRES BARRAS";33
"421835 TREVISO";10
"421840 TREZE DE MAIO";17
"421850 TREZE TILIAS";24
"421860 TROMBUDO CENTRAL";25
"421870 TUBARAO";522
"421875 TUNAPOLIS";18
"421880 TURVO";49
"421885 UNIAO DO OESTE";5
"421890 URUBICI";32
"421895 URUPEMA";8
"421900 URUSSANGA";80
"421910 VARGEAO";13
"421915 VARGEM";7
"421917 VARGEM BONITA";10
"421920 VIDAL RAMOS";16
"421930 VIDEIRA";319
"421935 VITOR MEIRELES";15
"421940 WITMARSUM";7
"421950 XANXERE";350
"421960 XAVANTINA";11
"421970 XAXIM";110
"421985 ZORTEA";7
"422000 BALNEARIO RINCAO";24
"Total";24829
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
